Episode;Period;Description;Start Time;End Time;Compression Power;Accuracy
('go to bed START', 'use toilet END', 'use toilet START');1 day, 0:00:00;{'23:42:39.956522': '1:20:30'};2008-02-25 23:21:15;2008-03-20 23:58:42;57;0.76
('leave house START', 'take shower END', 'take shower START');1 day, 0:00:00;{'9:56:45': '0:57:35'};2008-02-25 10:02:28;2008-03-21 09:17:47;51;0.654
('go to bed END', 'use toilet END', 'use toilet START');1 day, 0:00:00;{'9:01:29.368421': '0:38:56'};2008-02-25 09:34:12;2008-03-17 08:10:20;51;0.773
('use toilet END', 'use toilet START');1 day, 0:00:00;{'2:16:46.112980': '7:12:04'};2008-02-25 17:00:31;2008-03-21 18:24:24;48;0.889
('prepare Breakfast END', 'prepare Breakfast START');1 day, 0:00:00;{'9:24:23.800000': '0:38:07'};2008-02-25 09:49:23;2008-03-20 09:11:55;38;0.76
('use toilet END', 'use toilet START');1 day, 0:00:00;{'14:47:40.941129': '6:10:06'};2008-03-04 18:20:30;2008-03-21 15:51:58;34;0.944
('leave house END',);1 day, 0:00:00;{'20:15:04.166667': '2:38:51'};2008-02-25 16:55:38;2008-03-21 15:51:38;22;0.846
('use toilet END', 'use toilet START');1 day, 0:00:00;{'7:55:13': '0:37:00', '18:50:45': '0:37:00'};2008-02-25 17:00:31;2008-02-29 08:03:13;10;0.625
('brush teeth START',);1 day, 0:00:00;{'22:28:05.818182': '2:02:44'};2008-02-25 00:19:32;2008-03-06 23:14:42;9;0.75
('brush teeth END', 'brush teeth START');1 day, 0:00:00;{'0:29:20.666667': '0:23:20'};2008-03-18 00:49:09;2008-03-20 23:56:36;6;0.75
('get drink END', 'get drink START');1 day, 0:00:00;{'20:27:29': '0:57:03'};2008-02-25 17:54:55;2008-02-27 19:19:52;6;1.0
('use toilet END', 'use toilet START');1 day, 0:00:00;{'8:34:59.307692': '1:19:43', '21:50:00.707118': '1:19:43'};2008-03-04 23:44:22;2008-03-21 09:13:22;38;0.559
('brush teeth END',);1 day, 0:00:00;{'22:29:48.636364': '2:01:36'};2008-02-25 00:21:24;2008-03-06 23:17:08;9;0.75
('leave house START',);1 day, 0:00:00;{'19:02:55.800000': '0:58:12', '10:35:12.500000': '0:58:12'};2008-03-10 10:28:59;2008-03-18 18:25:00;9;0.5
('go to bed END',);1 day, 0:00:00;{'8:31:50.750000': '0:27:43'};2008-03-18 07:48:31;2008-03-21 18:05:18;4;1.0
('prepare Dinner START',);1 day, 0:00:00;{'19:28:23.666667': '0:20:14'};2008-02-25 19:40:26;2008-02-29 19:44:50;3;0.6
('prepare Dinner END',);1 day, 0:00:00;{'20:14:00.666667': '0:41:39'};2008-02-25 20:22:58;2008-02-29 20:59:56;3;0.6
